countryName,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,HDI,LifeExpectancy,ExpectedSchool,MeanSchool,GNI,Population
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,278,372,416,404,622,807,625,385,323,390,336,552,383,351,370,663,0.465,60.4,9.3,3.2,1885,32527
Albania,528,1246,768,726,2161,2056,1746,393,551,1366,945,1756,515,686,780,1921,0.733,77.8,11.8,9.3,9943,2897
Algeria,798,1401,1642,1008,2718,3160,2110,956,786,1456,1393,2255,936,1257,1102,2201,0.736,74.8,14,7.6,13054,39667
Andorra,73,68,95,112,117,127,102,83,68,106,90,78,83,69,84,115,0.845,81.3,13.5,9.6,43978,70
Angola,103,101,122,183,177,243,156,112,95,131,103,161,93,137,100,175,0.532,52.3,11.4,4.7,6822,25022
Antigua and Barbuda,58,44,59,71,82,86,66,59,46,81,53,57,41,30,38,71,0.783,76.1,14,9.2,20070,92
Argentina,3801,1376,1887,5674,5014,8690,6584,958,1520,6032,4943,5719,2250,3241,2700,4217,0.836,76.3,17.9,9.8,22050,43417
Armenia,87,101,102,114,184,216,184,59,63,133,129,136,109,97,102,180,0.733,74.7,12.3,10.9,8124,3018
Australia,15433,10777,13670,27182,25143,37741,25139,15687,13966,30567,24979,18570,17467,22533,21958,20748,0.935,82.4,20.2,13,42261,23969
Austria,602,132,258,800,549,998,671,188,203,619,654,544,534,678,570,362,0.885,81.4,15.7,10.8,43869,8545
Azerbaijan,170,234,233,208,327,389,267,183,131,197,198,234,223,194,186,288,0.751,70.8,11.9,11.2,16428,9754
Bahamas,39,47,60,74,82,108,88,46,45,83,55,81,47,63,65,74,0.79,75.4,12.6,10.9,21336,388
Bahrain,1177,1139,1528,1965,3128,3429,2342,937,763,1750,982,2427,1837,1973,1888,2992,0.824,76.6,14.4,9.4,38599,1377
Bangladesh,5990,6916,6409,6873,9885,14070,11093,7000,4465,7217,5390,9055,6296,6812,7108,12026,0.57,71.6,10,5.1,3191,160996
Barbados,82,46,56,105,120,145,118,56,50,135,75,132,57,92,87,113,0.785,75.6,15.4,10.5,12488,284
Belarus,1484,2291,1959,3306,6870,6502,6627,2818,1629,3641,4471,5927,4243,4012,1035,2957,0.798,71.3,15.7,12,16676,9496
Belgium,1173,325,443,1258,1005,1684,1214,370,406,1125,1111,957,830,1022,1032,668,0.89,80.8,16.3,11.3,41187,11299
Belize,49,40,47,73,91,103,84,34,28,74,67,87,38,66,53,86,0.715,70,13.6,10.5,7614,359
Benin,294,240,225,413,477,646,348,373,270,344,266,393,228,277,286,465,0.48,59.6,11.1,3.3,1767,10880
Bhutan,360,511,921,681,1745,1999,1328,482,261,707,758,1015,424,592,942,1686,0.605,69.5,12.6,3,7176,775
"Bolivia, Plurinational State of",424,170,192,446,547,746,434,214,135,512,530,571,191,316,385,504,0.662,68.3,13.2,8.2,5760,10725
Bosnia and Herzegovina,406,852,1343,1085,2639,2530,1853,427,470,1028,844,2025,662,1152,1070,2997,0.733,76.5,13.6,8.3,9638,3810
Botswana,87,118,122,244,308,342,263,103,105,151,84,234,125,174,160,249,0.698,64.5,12.5,8.9,16646,2262
Brazil,9257,16270,9252,22798,37331,42465,35489,5627,6395,22187,24756,28965,8209,17821,11871,16061,0.755,74.5,15.2,7.7,15175,207848
Brunei Darussalam,37,37,45,73,86,115,83,48,40,73,69,84,32,53,42,77,0.856,78.8,14.5,8.8,72570,423
