Continent,Country,population
Asia,Afghanistan,32526.562
Europe,Albania,2896.679
Africa,Algeria,39666.519
Australia,American Samoa,55.538
Europe,Andorra,70.473
Africa,Angola,25021.974
North America,Anguilla,14.614
Antarctica,Antarctica,0
North America,Antigua and Barbuda,91.818
South America,Argentina,43416.755
Asia,Armenia,3017.712
North America,Aruba,103.889
Asia,ASIA,4393296.014
Australia,Australia,23968.973
Australia,Australia/New Zealand,28497.499
Europe,Austria,8544.586
Asia,Azerbaijan,9753.968
North America,Bahamas,388.019
Asia,Bahrain,1377.237
Asia,Bangladesh,160995.642
North America,Barbados,284.215
Europe,Belarus,9495.826
Europe,Belgium,11299.192
North America,Belize,359.287
Africa,Benin,10879.829
North America,Bermuda,62.004
Asia,Bhutan,774.83
South America,"Bolivia, Plurinational State of",10724.705
Europe,Bosnia and Herzegovina,3810.416
Africa,Botswana,2262.485
South America,Brazil,207847.528
North America,"Virgin Islands, British",30.117
Asia,Brunei Darussalam,423.188
Europe,Bulgaria,7149.787
Africa,Burkina Faso,18105.57
Africa,Burundi,11178.921
Asia,Cambodia,15577.899
Africa,Cameroon,23344.179
North America,Canada,35939.927
Africa,Cape Verde,520.502
North America,Caribbean,43199.297
North America,Caribbean Netherlands,24.861
North America,Cayman Islands,59.967
Africa,Central African Republic,4900.274
North America,Central America,172740.074
Asia,Central Asia,67314.033
Africa,Chad,14037.472
Europe,Channel Islands,163.692
South America,Chile,17948.141
Asia,China,1376048.943
South America,Colombia,48228.704
Africa,Comoros,788.474
Africa,Congo,4620.33
Africa,"Congo, the Democratic Republic of the",77266.814
Australia,Cook Islands,20.833
North America,Costa Rica,4807.85
Africa,Cªte d'Ivoire,22701.556
Europe,Croatia,4240.317
North America,Cuba,11389.562
North America,Curaçao,157.203
Asia,Cyprus,1165.3
Europe,Czech Republic,10543.186
Asia,Dem. People's Republic of Korea,25155.317
Europe,Denmark,5669.081
Africa,Djibouti,887.861
North America,Dominica,72.68
North America,Dominican Republic,10528.391
Asia,Eastern Asia,1612286.941
Europe,Eastern Europe,292942.778
South America,Ecuador,16144.363
Africa,Egypt,91508.084
North America,El Salvador,6126.583
Africa,Equatorial Guinea,845.06
Africa,Eritrea,5227.791
Europe,Estonia,1312.558
Africa,Ethiopia,99390.75
Europe,EUROPE,738442.07
South America,Falkland Islands (Malvinas),2.903
Europe,Faroe Islands,48.199
Australia,Fiji,892.145
Europe,Finland,5503.457
Europe,France,64395.345
South America,French Guiana,268.606
Australia,French Polynesia,282.764
Africa,Gabon,1725.292
Africa,Gambia,1990.924
Asia,Georgia,3999.812
Europe,Germany,80688.545
Africa,Ghana,27409.893
Europe,Gibraltar,32.217
Europe,Greece,10954.617
North America,Greenland,56.186
North America,Grenada,106.825
North America,Guadeloupe,468.45
Australia,Guam,169.885
North America,Guatemala,16342.897
Africa,Guinea,12608.59
Africa,Guinea-Bissau,1844.325
South America,Guyana,767.085
North America,Haiti,10711.067
Europe,Holy See,0.8
North America,Honduras,8075.06
Asia,Hong Kong,7287.983
Europe,Hungary,9855.023
Europe,Iceland,329.425
Asia,India,1311050.527
Asia,Indonesia,257563.815
Asia,"Iran, Islamic Republic of",79109.272
Asia,Iraq,36423.395
Europe,Ireland,4688.465
Europe,Isle of Man,87.78
Asia,Israel,8064.036
Europe,Italy,59797.685
North America,Jamaica,2793.335
Asia,Japan,126573.481
Asia,Jordan,7594.547
Asia,Kazakhstan,17625.226
Africa,Kenya,46050.302
Australia,Kiribati,112.423
Asia,"Korea, Democratic People's Republic of",50293.439
Asia,Kuwait,3892.115
Asia,Kyrgyzstan,5939.962
Asia,Lao People's Democratic Republic,6802.023
North America,LATIN AMERICA AND THE CARIBBEAN,634386.567
Europe,Latvia,1970.503
Asia,Lebanon,5850.743
Africa,Lesotho,2135.022
Africa,Liberia,4503.438
Africa,Libya,6278.438
Europe,Liechtenstein,37.531
Europe,Lithuania,2878.405
Europe,Luxembourg,567.11
Asia,Macao,587.606
Europe,"Macedonia, the former Yugoslav Republic of",2078.453
Africa,Madagascar,24235.39
Africa,Malawi,17215.232
Asia,Malaysia,30331.007
Asia,Maldives,363.657
Africa,Mali,17599.694
Europe,Malta,418.67
Australia,Marshall Islands,52.993
North America,Martinique,396.425
Africa,Mauritania,4067.564
Africa,Mauritius,1273.212
Africa,Mayotte,240.015
Australia,Melanesia,9622.827
North America,Mexico,127017.224
Australia,Micronesia,526.344
Australia,"Micronesia, Federated States of",104.46
Africa,Middle Africa,151951.739
Europe,"Moldova, Republic of",4068.897
Europe,Monaco,37.731
Asia,Mongolia,2959.134
Europe,Montenegro,625.781
North America,Montserrat,5.125
Africa,Morocco,34377.511
Africa,Mozambique,27977.863
Asia,Myanmar,53897.154
Africa,Namibia,2458.83
Australia,Nauru,10.222
Asia,Nepal,28513.7
Europe,Netherlands,16924.929
Australia,New Caledonia,263.118
Australia,New Zealand,4528.526
North America,Nicaragua,6082.032
Africa,Niger,19899.12
Africa,Nigeria,182201.962
Australia,Niue,1.61
Africa,Northern Africa,223891.528
North America,NORTHERN AMERICA,357838.036
Europe,Northern Europe,102357.768
Australia,Northern Mariana Islands,55.07
Europe,Norway,5210.967
Australia,OCEANIA,39331.13
Asia,Oman,4490.541
Asia,Other non-specified areas,23381.038
Asia,Pakistan,188924.874
Australia,Palau,21.291
Asia,"Palestine, State of",4668.466
North America,Panama,3929.141
Australia,Papua New Guinea,7619.321
South America,Paraguay,6639.123
South America,Peru,31376.67
Asia,Philippines,100699.395
Europe,Poland,38611.794
Australia,Polynesia,684.46
Europe,Portugal,10349.803
North America,Puerto Rico,3683.238
Asia,Qatar,2235.355
Europe,Romania,19511.324
Europe,Russian Federation,143456.918
Africa,Rwanda,11609.666
Africa,R_union,861.154
Africa,"Saint Helena, Ascension and Tristan da Cunha",3.961
North America,Saint Kitts and Nevis,55.572
North America,Saint Lucia,184.999
North America,Saint Pierre and Miquelon,6.288
North America,Saint Vincent and the Grenadines,109.462
Australia,Samoa,193.228
Europe,San Marino,31.781
Africa,Sao Tome and Principe,190.344
Asia,Saudi Arabia,31540.372
Africa,Senegal,15129.273
Europe,Serbia,8850.975
Africa,Seychelles,96.471
Africa,Sierra Leone,6453.184
Asia,Singapore,5603.74
North America,Sint Maarten (Dutch part),38.745
