Continent,Country,population
Asia,Afghanistan,32526.562
EUROPE,Albania,2896.679
Africa,Algeria,39666.519
Oceiana ,American Samoa,55.538
EUROPE,Andorra,70.473
Africa,Angola,25021.974
North America,Anguilla,14.614
Anartica,Antarctica,0
North America,Antigua and Barbuda,91.818
South America,Argentina,43416.755
Asia,Armenia,3017.712
North America,Aruba,103.889
Asia,ASIA,4393296.014
Austrailaia ,Australia,23968.973
Austrailaia ,Australia/New Zealand,28497.499
EUROPE,Austria,8544.586
Asia,Azerbaijan,9753.968
North America,Bahamas,388.019
Asia,Bahrain,1377.237
Asia,Bangladesh,160995.642
North America,Barbados,284.215
EUROPE,Belarus,9495.826
EUROPE,Belgium,11299.192
North America,Belize,359.287
Africa,Benin,10879.829
North America,Bermuda,62.004
Asia,Bhutan,774.83
South America,"Bolivia, Plurinational State of",10724.705
EUROPE,Bosnia and Herzegovina,3810.416
Africa,Botswana,2262.485
South America,Brazil,207847.528
North America,"Virgin Islands, British",30.117
Asia,Brunei Darussalam,423.188
EUROPE,Bulgaria,7149.787
Africa,Burkina Faso,18105.57
Africa,Burundi,11178.921
Asia,Cambodia,15577.899
Africa,Cameroon,23344.179
North America,Canada,35939.927
Africa,Cape Verde,520.502
North America,Caribbean,43199.297
North America,Caribbean Netherlands,24.861
North America,Cayman Islands,59.967
Africa,Central African Republic,4900.274
North America,Central America,172740.074
Asia,Central Asia,67314.033
Africa,Chad,14037.472
EUROPE,Channel Islands,163.692
South America,Chile,17948.141
Asia,China,1376048.943
South America,Colombia,48228.704
Africa,Comoros,788.474
Africa,Congo,4620.33
Africa,"Congo, the Democratic Republic of the",77266.814
Oceiana ,Cook Islands,20.833
North America,Costa Rica,4807.85
Africa,C»te d'Ivoire,22701.556
EUROPE,Croatia,4240.317
North America,Cuba,11389.562
North America,Curaçao,157.203
Asia,Cyprus,1165.3
EUROPE,Czech Republic,10543.186
Asia,Dem. People's Republic of Korea,25155.317
EUROPE,Denmark,5669.081
Africa,Djibouti,887.861
North America,Dominica,72.68
North America,Dominican Republic,10528.391
Asia,Eastern Asia,1612286.941
EUROPE,Eastern Europe,292942.778
South America,Ecuador,16144.363
Africa,Egypt,91508.084
North America,El Salvador,6126.583
Africa,Equatorial Guinea,845.06
Africa,Eritrea,5227.791
EUROPE,Estonia,1312.558
Africa,Ethiopia,99390.75
EUROPE,EUROPE,738442.07
South America,Falkland Islands (Malvinas),2.903
EUROPE,Faroe Islands,48.199
Austrailaia ,Fiji,892.145
EUROPE,Finland,5503.457
EUROPE,France,64395.345
South America,French Guiana,268.606
Oceiana ,French Polynesia,282.764
Africa,Gabon,1725.292
Africa,Gambia,1990.924
Asia,Georgia,3999.812
EUROPE,Germany,80688.545
Africa,Ghana,27409.893
EUROPE,Gibraltar,32.217
EUROPE,Greece,10954.617
North America,Greenland,56.186
North America,Grenada,106.825
North America,Guadeloupe,468.45
Oceiana ,Guam,169.885
North America,Guatemala,16342.897
Africa,Guinea,12608.59
Africa,Guinea-Bissau,1844.325
South America,Guyana,767.085
North America,Haiti,10711.067
EUROPE,Holy See,0.8
North America,Honduras,8075.06
Asia,Hong Kong,7287.983
EUROPE,Hungary,9855.023
EUROPE,Iceland,329.425
Asia,India,1311050.527
Asia,Indonesia,257563.815
Asia,"Iran, Islamic Republic of",79109.272
Asia,Iraq,36423.395
EUROPE,Ireland,4688.465
EUROPE,Isle of Man,87.78
Asia,Israel,8064.036
EUROPE,Italy,59797.685
North America,Jamaica,2793.335
Asia,Japan,126573.481
Asia,Jordan,7594.547
Asia,Kazakhstan,17625.226
Africa,Kenya,46050.302
Oceiana ,Kiribati,112.423
Asia,"Korea, Democratic People's Republic of",50293.439
Asia,Kuwait,3892.115
Asia,Kyrgyzstan,5939.962
Asia,Lao People's Democratic Republic,6802.023
North America,LATIN AMERICA AND THE CARIBBEAN,634386.567
EUROPE,Latvia,1970.503
Asia,Lebanon,5850.743
Africa,Lesotho,2135.022
Africa,Liberia,4503.438
Africa,Libya,6278.438
EUROPE,Liechtenstein,37.531
EUROPE,Lithuania,2878.405
EUROPE,Luxembourg,567.11
Asia,Macao,587.606
EUROPE,"Macedonia, the former Yugoslav Republic of",2078.453
Africa,Madagascar,24235.39
Africa,Malawi,17215.232
Asia,Malaysia,30331.007
Asia,Maldives,363.657
Africa,Mali,17599.694
EUROPE,Malta,418.67
Oceiana ,Marshall Islands,52.993
North America,Martinique,396.425
Africa,Mauritania,4067.564
Africa,Mauritius,1273.212
Africa,Mayotte,240.015
Austrailaia ,Melanesia,9622.827
North America,Mexico,127017.224
Oceiana ,Micronesia,526.344
Oceiana ,"Micronesia, Federated States of",104.46
Africa,Middle Africa,151951.739
EUROPE,"Moldova, Republic of",4068.897
EUROPE,Monaco,37.731
Asia,Mongolia,2959.134
EUROPE,Montenegro,625.781
North America,Montserrat,5.125
Africa,Morocco,34377.511
Africa,Mozambique,27977.863
Asia,Myanmar,53897.154
Africa,Namibia,2458.83
Oceiana ,Nauru,10.222
Asia,Nepal,28513.7
EUROPE,Netherlands,16924.929
Austrailaia ,New Caledonia,263.118
Austrailaia ,New Zealand,4528.526
North America,Nicaragua,6082.032
Africa,Niger,19899.12
Africa,Nigeria,182201.962
Oceiana ,Niue,1.61
Africa,Northern Africa,223891.528
North America,NORTHERN AMERICA,357838.036
EUROPE,Northern Europe,102357.768
Oceiana ,Northern Mariana Islands,55.07
EUROPE,Norway,5210.967
Austrailaia ,OCEANIA,39331.13
Asia,Oman,4490.541
Asia,Other non-specified areas,23381.038
Asia,Pakistan,188924.874
Oceiana ,Palau,21.291
Asia,"Palestine, State of",4668.466
North America,Panama,3929.141
Austrailaia ,Papua New Guinea,7619.321
South America,Paraguay,6639.123
South America,Peru,31376.67
Asia,Philippines,100699.395
EUROPE,Poland,38611.794
Oceiana ,Polynesia,684.46
EUROPE,Portugal,10349.803
