countryName,ClimateChange,BetterTransport,SupportWork,AccessWater,BetterHealthcare,GoodEducation,ResponsiveGovernment,PhoneInternet,ReliableEnergy,AffordableFood,ProtectingForests,PoliticalFreedoms,ProtectionCrime,FreedomDiscrimination,Equality,BetterJob,Continent,Population
Afghanistan,16,11,6,7,4,1,3,9,15,8,14,5,10,13,12,2,Asia,32526.562
Albania,14,7,10,11,1,2,5,16,13,6,8,4,15,12,9,3,EUROPE,2896.679
Algeria,15,8,6,12,2,1,5,13,16,7,9,3,14,10,11,4,Africa,39666.519
Andorra,13,15,7,4,2,1,6,10,15,5,8,12,10,14,9,3,EUROPE,70.473
Angola,11,13,9,2,3,1,6,10,15,8,11,5,16,7,14,4,Africa,25021.974
Antigua and Barbuda,9,13,7,4,2,1,6,7,12,3,11,10,14,16,15,4,North America,91.818
Argentina,9,15,13,5,6,1,2,16,14,3,7,4,12,10,11,8,South America,43416.755
Armenia,14,12,10,8,2,1,2,16,15,6,7,5,9,13,10,4,Asia,3017.712
Australia,13,16,15,3,4,1,5,12,14,2,6,10,11,7,8,9,Austrailaia ,23968.973
Austria,7,16,13,2,9,1,4,15,14,6,5,10,11,3,8,12,EUROPE,8544.586
Azerbaijan,15,5,7,9,2,1,4,14,16,11,10,5,8,12,13,3,Asia,9753.968
Bahamas,16,12,10,6,4,1,2,14,15,3,11,5,12,9,8,6,North America,388.019
Bahrain,12,13,11,7,2,1,5,15,16,10,14,4,9,6,8,3,Asia,1377.237
Bangladesh,14,9,12,10,4,1,3,8,16,6,15,5,13,11,7,2,Asia,160995.642
Barbados,10,16,13,7,4,1,5,13,15,2,11,3,12,8,9,6,North America,284.215
Belarus,15,12,13,9,1,3,2,11,14,8,5,4,6,7,16,10,EUROPE,9495.826
Belgium,4,16,13,2,9,1,3,15,14,5,6,10,11,8,7,12,EUROPE,11299.192
Belize,11,13,12,7,2,1,5,15,16,6,8,3,14,9,10,4,North America,359.287
Benin,9,14,16,4,2,1,7,6,12,8,13,5,15,11,10,3,Africa,10879.829
Bhutan,15,12,7,10,2,1,4,13,16,9,8,5,14,11,6,3,Asia,774.83
"Bolivia, Plurinational State of",9,15,13,7,3,1,8,12,16,5,4,2,14,11,10,6,Asia,774.83
Bosnia and Herzegovina,16,11,6,8,2,3,5,15,14,10,12,4,13,7,9,1,EUROPE,3810.416
Botswana,15,12,11,5,2,1,3,14,13,9,16,6,10,7,8,4,Africa,2262.485
Brazil,12,9,13,6,2,1,3,16,15,7,5,4,14,8,11,10,South America,207847.528
Brunei Darussalam,14,14,11,6,2,1,4,10,13,6,8,3,16,9,12,5,South America,207847.528
Bulgaria,10,16,11,9,2,1,3,14,15,7,6,5,13,8,12,4,EUROPE,7149.787
Burkina Faso,8,13,11,3,2,1,5,15,16,6,12,7,9,10,14,4,Africa,18105.57
Burundi,13,16,14,6,2,1,3,12,15,7,11,5,8,9,10,4,Africa,11178.921
Cambodia,14,12,13,9,2,1,3,15,16,10,6,7,5,11,8,4,Asia,15577.899
Cameroon,15,7,4,3,2,1,5,8,9,6,10,11,12,13,16,14,Africa,23344.179
Canada,9,16,13,2,7,1,4,15,14,3,5,10,11,8,6,12,North America,35939.927
Cape Verde,14,15,7,6,1,2,5,16,13,8,12,4,11,9,10,3,Africa,520.502
Central African Republic,8,11,11,3,5,1,3,13,14,5,10,2,16,9,14,7,Africa,4900.274
Chad,14,13,11,4,2,1,6,10,14,3,16,8,9,7,12,4,Africa,14037.472
Chile,9,16,14,7,3,1,5,15,13,4,2,6,12,10,8,11,South America,17948.141
China,4,1,2,3,9,13,5,16,11,10,6,14,7,12,15,8,Asia,1376048.943
Colombia,10,12,13,6,2,1,3,15,16,7,5,8,14,11,9,4,South America,48228.704
Comoros,8,7,13,2,3,1,6,16,8,4,5,11,15,12,13,10,Africa,788.474
"Congo, the Democratic Republic of the",15,12,7,5,2,1,11,10,13,4,16,6,14,8,9,3,Africa,4620.33
Costa Rica,9,12,13,5,7,1,3,15,16,6,2,4,14,11,10,8,Africa,22701.556
Cote d'Ivoire,15,9,8,7,1,2,6,10,16,4,13,5,11,12,14,3,Africa,22701.556
Croatia,12,16,11,5,4,1,3,14,15,9,7,6,13,8,10,2,EUROPE,4240.317
